article_id,detail_desc,hn_article_id,hn_detail_desc,category_name,positive_cat_value,hnegative_cat_value,enhanced_query
306847002,Leggings in soft cotton jersey with an elasticated waist.,641006001.0,"Short-sleeved blouse in a viscose weave with broderie anglaise. Wide neckline with narrow elastication at the top, and a smocked hem.",department_name,Young Girl Jersey Basic,Young Girl Dresses,Leggings in soft cotton jersey with an elasticated waist.. It has to be Young Girl Jersey Basic and not Young Girl Dresses.
307239001,"Shaping briefs in microfibre with a high waist, laser-cut edges and lined gusset. The briefs have a light shaping effect on the waist, bum and hips.",,,department_name,Functional Lingerie,Baby Boy Outdoor,
308158016,Long-sleeved bodysuit in soft organic cotton jersey with a rounded collar and press-studs at the back and crotch. Scalloped edges at the collar and cuffs.,726109001.0,Sandals in imitation leather with a hook and loop fastening at one side and a loop at the back. Imitation leather linings and insoles and thermoplastic rubber (TPR) soles.,department_name,Baby basics,Baby Shoes,Long-sleeved bodysuit in soft organic cotton jersey with a rounded collar and press-studs at the back and crotch. Scalloped edges at the collar and cuffs.. It has to be Baby basics and not Baby Shoes.
309864013,"Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.",448515001.0,"5-pocket ankle-length jeans in washed stretch denim with hard-worn details, a regular waist, zip fly and button and skinny legs.",department_name,Young Boy Denim,Trousers,"Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems.. It has to be Young Boy Denim and not Trousers."
315497017,"Double-layered hat in a soft, fine knit.",803173003.0,"Dog jumper in a soft fine knit containing some wool. Polo neck, ribbing around the front legs and an opening for the back legs.",department_name,Accessories,Other items,"Double-layered hat in a soft, fine knit.. It has to be Accessories and not Other items."
315509036,Scarf in a soft weave with fringes on the short sides. Size 50x180 cm.,612138001.0,"Scarf in soft, patterned satin. Size 80x80 cm.",department_name,Accessories,Scarves,Scarf in a soft weave with fringes on the short sides. Size 50x180 cm.. It has to be Accessories and not Scarves.
316553026,"Short jersey dress with narrow shoulder straps, a seam at the waist and bell-shaped skirt.",,,department_name,Dresses,OL Extended Sizes,
316657010,"Biker jacket in imitation leather with a diagonal zip at the front, side pockets and ribbed jersey sections under the arms. Lined.",694326001.0,"5-pocket jeans in washed, stretch denim with a fake fly, front and back pockets and slightly wider, tapered legs. Wide jersey panel at the waist for best fit.",department_name,Outdoor/Blazers DS,Woven bottoms,"Biker jacket in imitation leather with a diagonal zip at the front, side pockets and ribbed jersey sections under the arms. Lined.. It has to be Outdoor/Blazers DS and not Woven bottoms."
324375010,Earmuffs in faux fur and imitation suede. Adjustable size.,751331001.0,"Long-sleeved top in soft sweatshirt fabric with a lined drawstring hood, kangaroo pocket and ribbing at the cuffs and hem. Soft brushed inside.",department_name,Knit & Woven,Projects,Earmuffs in faux fur and imitation suede. Adjustable size.. It has to be Knit & Woven and not Projects.
325087045,"Push-up bras in cotton jersey with lace details and underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back.",,,department_name,Casual Lingerie,Woven bottoms,
326885051,"Joggers in lightweight jersey made from a cotton blend with a ribbed, elasticated waistband, pockets in the side seams and ribbed hems. The cotton content of the joggers is organic.",834127001.0,Metal Alice band covered in sparkly stones.,department_name,Kids Boy Jersey Basic,Hair Accessories,"Joggers in lightweight jersey made from a cotton blend with a ribbed, elasticated waistband, pockets in the side seams and ribbed hems. The cotton content of the joggers is organic.. It has to be Kids Boy Jersey Basic and not Hair Accessories."
327821030,Leggings in soft organic cotton jersey with an elasticated waist.,533329016.0,"All-in-one suit in soft organic cotton sweatshirt fabric with ribbing around the neckline, cuffs and hems, and press-studs on one shoulder, at the crotch and down the legs. Soft brushed inside.",department_name,Kids Girl Jersey Basic,Baby basics,Leggings in soft organic cotton jersey with an elasticated waist.. It has to be Kids Girl Jersey Basic and not Baby basics.
331474033,"Joggers in sweatshirt fabric with elasticated ribbing at the waist, pockets in the side seams and ribbed hems.",490048004.0,"Lightly padded satin bomber jacket with quilted sleeves, a small, ribbed stand-up collar and zip down the front. Jetted front pockets and ribbing at the cuffs and hem. Lined.",department_name,Kids Boy Jersey Basic,Kids Girl Outdoor,"Joggers in sweatshirt fabric with elasticated ribbing at the waist, pockets in the side seams and ribbed hems.. It has to be Kids Boy Jersey Basic and not Kids Girl Outdoor."
331474039,"Joggers in sweatshirt fabric with elasticated ribbing at the waist, pockets in the side seams and ribbed hems.",662336001.0,"Fine-knit, V-neck sweater vest in soft cotton.",department_name,Kids Boy Jersey Basic,Kids Boy Knitwear,"Joggers in sweatshirt fabric with elasticated ribbing at the waist, pockets in the side seams and ribbed hems.. It has to be Kids Boy Jersey Basic and not Kids Boy Knitwear."
337991005,Leather belt with a metal buckle. Width 3 cm.,745357002.0,"Skirt in crinkled, patterned jersey with a decorative knot detail at the top and a high slit at the front of the hem. Unlined.",department_name,Belts,Skirt,Leather belt with a metal buckle. Width 3 cm.. It has to be Belts and not Skirt.
338400004,"High-waisted briefs in microfibre with a laser-cut edges, a lined gusset and string back. The briefs have a light sculpting effect on the tummy, waist and hips.",552371001.0,"Dungarees in washed superstretch denim with worn details. Adjustable, detachable straps with metal fasteners, press-studs at the sides and a fake fly. Chest pocket, back pockets and fake front pockets.",department_name,Functional Lingerie,Young Girl Denim,"High-waisted briefs in microfibre with a laser-cut edges, a lined gusset and string back. The briefs have a light sculpting effect on the tummy, waist and hips.. It has to be Functional Lingerie and not Young Girl Denim."
342034027,"Scarf in a soft, loose weave with fringes on the short sides. Size 100x200 cm.",605792002.0,"Knee-length dress in a patterned crêpe weave with a V-neck, smocking on the shoulders and short sleeves. Smocked seam under the bust and a short frill trim around the neckline and sleeves. Unlined.",department_name,Scarves,Woven Tops,"Scarf in a soft, loose weave with fringes on the short sides. Size 100x200 cm.. It has to be Scarves and not Woven Tops."
343973011,Microfibre leggings with an elasticated waist and lace trims at the hems.,624486078.0,"Short, fitted top in ribbed cotton jersey with short sleeves.",department_name,Kids Girl S&T,Basic 1,Microfibre leggings with an elasticated waist and lace trims at the hems.. It has to be Kids Girl S&T and not Basic 1.
348330045,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.,776237003.0,"Lined balconette bikini top with underwired, padded cups that lift and shape the bust. Silicone trim at the hem, detachable, adjustable shoulder straps, side support and a metal fastener at the back.",department_name,Baby basics,Swimwear,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.. It has to be Baby basics and not Swimwear.
351484039,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges.",557046005.0,Hat and scarf set in a soft rib knit. Hat with a turned-up hem. Size of scarf 25x175 cm.,department_name,Swimwear,Accessories,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges.. It has to be Swimwear and not Accessories."
352811039,5-pocket trousers in stretch twill with a regular waist and slim legs.,696508001.0,"Wide, ankle-length trousers in cotton twill with a high, elasticated paper bag waist and tie belt. Fake fly, side pockets and straight, wide legs with creases.",department_name,Woven bottoms,Asia Assortment,5-pocket trousers in stretch twill with a regular waist and slim legs.. It has to be Woven bottoms and not Asia Assortment.
354246021,T-shirt in organic cotton jersey with long raglan sleeves in a contrasting colour and press-studs at the back of the neck.,573282012.0,Fitted short-sleeved top in slub jersey made from organic cotton with a round neck and rounded hem.,department_name,Baby basics,Jersey,T-shirt in organic cotton jersey with long raglan sleeves in a contrasting colour and press-studs at the back of the neck.. It has to be Baby basics and not Jersey.
360859006,Classic jacket in woven fabric containing some wool with a chest pocket and flap front pockets. Decorative buttons at the cuffs and a single back vent. Lined.,541569001.0,Fitted sports vest top in fast-drying functional fabric with a racer back.,department_name,Young Boy Shirt,Ladies Sport Bras,Classic jacket in woven fabric containing some wool with a chest pocket and flap front pockets. Decorative buttons at the cuffs and a single back vent. Lined.. It has to be Young Boy Shirt and not Ladies Sport Bras.
361467024,Top in soft jersey with short raglan sleeves with sewn-in turn-ups.,812263005.0,"Joggers in stretch, supersoft denim with an elasticated drawstring waist, fake fly, front pockets, a back pocket and tapered legs with covered elastication at the hems.",department_name,Jersey,Kids Boy Denim,Top in soft jersey with short raglan sleeves with sewn-in turn-ups.. It has to be Jersey and not Kids Boy Denim.
362931025,Long-sleeved T-shirt in waffled cotton jersey with ribbed cuffs.,824560001.0,"Knee-high football socks in fine-knit, fast-drying functional yarn with elastication at the top, ankle and foot for best fit.",department_name,Jersey Basic,Dress-up Boys,Long-sleeved T-shirt in waffled cotton jersey with ribbed cuffs.. It has to be Jersey Basic and not Dress-up Boys.
364297018,Trousers in sweatshirt fabric made from organic cotton with an elasticated drawstring waist and ribbed hems. Soft brushed inside.,804555006.0,"Hat in soft, rib-knit cashmere with a wide, foldover hem.",department_name,Baby basics,Jersey/Knitwear Premium,Trousers in sweatshirt fabric made from organic cotton with an elasticated drawstring waist and ribbed hems. Soft brushed inside.. It has to be Baby basics and not Jersey/Knitwear Premium.
368300011,"Shorts in soft, washed cotton twill with an elasticated drawstring waist, fake fly, side pockets and a welt back pocket.",,,department_name,Shorts,EQ & Special Collections,
372860068,Fine-knit trainer socks in a soft cotton blend.,375917006.0,Hat in felted fabric with a grosgrain band. Width of brim 6 cm.,department_name,Shopbasket Socks,Accessories,Fine-knit trainer socks in a soft cotton blend.. It has to be Shopbasket Socks and not Accessories.
375917006,Hat in felted fabric with a grosgrain band. Width of brim 6 cm.,761821006.0,"Dress with a soft jersey bodice, visible zip at the back and short cap sleeves. Seam at the waist and a lined, flared skirt in a patterned weave with a sheen.",department_name,Accessories,Kids Girl Jersey Fancy,Hat in felted fabric with a grosgrain band. Width of brim 6 cm.. It has to be Accessories and not Kids Girl Jersey Fancy.
378124007,"Long-sleeved piqué top in fine-knit merino wool with a ribbed collar, button placket and ribbing at the cuffs and hem.",718939005.0,"Blouse in a linen weave with a collar, buttons down the front and flap chest pockets. Yoke with a pleat at the back, long sleeves with buttoned cuffs, and a rounded hem.",department_name,Knitwear,Blouse,"Long-sleeved piqué top in fine-knit merino wool with a ribbed collar, button placket and ribbing at the cuffs and hem.. It has to be Knitwear and not Blouse."
378135033,"Jumper in soft, fine-knit merino wool with a round neck, long sleeves and ribbing at the cuffs and hem.",,,department_name,Knitwear,Young Girl Big Acc,
378447022,"Jumper in fine-knit merino wool with a V-neck and ribbing around the neckline, cuffs and hem.",544290034.0,Round-necked T-shirts in soft organic cotton jersey.,department_name,Knitwear,Kids Boy Jersey Basic,"Jumper in fine-knit merino wool with a V-neck and ribbing around the neckline, cuffs and hem.. It has to be Knitwear and not Kids Boy Jersey Basic."
378447043,"Jumper in fine-knit merino wool with a V-neck and ribbing around the neckline, cuffs and hem.",848883001.0,"Jacket in woven fabric with a high collar, zip and wind flap with press-studs down the front, dropped shoulders and adjustable buttoning at the cuffs. Flap chest pockets, flap front pockets, and a drawstring at the waist. Unlined.",department_name,Knitwear,Outwear,"Jumper in fine-knit merino wool with a V-neck and ribbing around the neckline, cuffs and hem.. It has to be Knitwear and not Outwear."
379780024,Short T-shirt in soft jersey with a trim in a contrasting colour at the neckline and sleeves.,,,department_name,Basic 1,Light Basic Jersey,
379963002,"Leggings in a soft, fine-knit cotton blend with a high waist for a good fit over the tummy. Ribbing at the waist and hems.",785034009.0,"Pyjamas in supersoft jersey. Top with a V-neck, dropped shoulders, long sleeves and rounded hem. Bottoms with an elasticated waist and tapered legs.",department_name,Tights basic,Nightwear,"Leggings in a soft, fine-knit cotton blend with a high waist for a good fit over the tummy. Ribbing at the waist and hems.. It has to be Tights basic and not Nightwear."
380609001,Short-sleeved top in airy jersey with a rounded hem. Longer at the back.,743907001.0,Long-sleeved tops in soft cotton jersey with a press-stud on one shoulder (except in sizes 1½-4Y).,department_name,Jersey Fancy DS,Baby Boy Jersey Fancy,Short-sleeved top in airy jersey with a rounded hem. Longer at the back.. It has to be Jersey Fancy DS and not Baby Boy Jersey Fancy.
384482006,"Chinos in washed stretch cotton twill with an extended waistband, concealed hook-and-eye fastener, side pockets, and welt back pockets with a button. Slim fit.",506166014.0,Short-sleeved jersey top.,department_name,Trouser,Jersey,"Chinos in washed stretch cotton twill with an extended waistband, concealed hook-and-eye fastener, side pockets, and welt back pockets with a button. Slim fit.. It has to be Trouser and not Jersey."
393772001,"Joggers in cotton twill with an elasticated drawstring waist, fake fly, side pockets and welt back pockets. Low crotch and tapered legs with gathered seams and a zip at the hems.",,,department_name,Trouser,Blouse,
395658039,Joggers in sweatshirt fabric with an elasticated drawstring waist and ribbed hems.,628642006.0,"Suit trousers in a linen weave with an extended waistband and concealed hook-and-eye fastening. Side pockets, jetted back pockets and legs with creases. Slim fit that is close-fitting at the thighs, knees and ankles to create a fitted silhouette.",department_name,Kids Girl Jersey Basic,Trouser S&T,Joggers in sweatshirt fabric with an elasticated drawstring waist and ribbed hems.. It has to be Kids Girl Jersey Basic and not Trouser S&T.
395730042,"Long-sleeved, polo-neck tops in organic cotton jersey.",747406001.0,"All-in-one suit in sweatshirt fabric with a jersey-lined hood, zip down the front with a chin guard, front pockets and ribbing at the cuffs and hems. Soft brushed inside.",department_name,Kids Girl Jersey Basic,Young Girl Jersey Fancy,"Long-sleeved, polo-neck tops in organic cotton jersey.. It has to be Kids Girl Jersey Basic and not Young Girl Jersey Fancy."
395864064,Boxer briefs in cotton jersey with a lined gusset.,795109002.0,"Ankle-length trousers in soft jersey with straight, wide legs. Wide panel at the waist for best fit over the tummy.",department_name,Kids Girl UW/NW,Jersey,Boxer briefs in cotton jersey with a lined gusset.. It has to be Kids Girl UW/NW and not Jersey.
398863005,"Short shorts in woven fabric in a relaxed fit with an elasticated waist with a concealed drawstring, side pockets in the side seams, a welt back pocket and a zip and button at the front.",514691006.0,"Off-the-shoulder blouse in a cotton weave with buttons down the front. Narrow shoulder straps, a frill around the top and long sleeves with buttoned cuffs.",department_name,Shorts,Blouse & Dress,"Short shorts in woven fabric in a relaxed fit with an elasticated waist with a concealed drawstring, side pockets in the side seams, a welt back pocket and a zip and button at the front.. It has to be Shorts and not Blouse & Dress."
399061026,"Fitted jacket in washed, stretch denim with buttons down the front, flap chest pockets with a button, and side pockets.",514577013.0,Short-sleeved blouse in an airy weave with a round neckline and short slits in the sides. Slightly longer at the back.,department_name,Outwear,Blouse,"Fitted jacket in washed, stretch denim with buttons down the front, flap chest pockets with a button, and side pockets.. It has to be Outwear and not Blouse."
399136009,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs.",,,department_name,Denim Trousers,Scarves,
399136060,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs.",490460009.0,"Marled sports top in fast-drying, breathable functional fabric. Seamless.",department_name,Denim Trousers,Men Sport Woven,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs.. It has to be Denim Trousers and not Men Sport Woven."
400296003,"5-pocket, calf-length jeans in washed denim with a high waist and straight legs with raw-edge, frayed hems.",598909001.0,"Dungaree shorts in washed stretch denim with adjustable straps with metal fasteners, chest pocket, fake front pockets and real back pockets. Press-studs at the sides, a fake fly and raw-edge hems with an inset lace trim.",department_name,Denim Trousers,Kids Girl Denim,"5-pocket, calf-length jeans in washed denim with a high waist and straight legs with raw-edge, frayed hems.. It has to be Denim Trousers and not Kids Girl Denim."
402065030,Long-sleeved top in organic cotton jersey with a ribbed neckline and a chest pocket.,730454019.0,Pyjamas in soft cotton jersey. Long-sleeved top. Bottoms with an elasticated waist.,department_name,Kids Boy Jersey Basic,Kids Boy UW/NW,Long-sleeved top in organic cotton jersey with a ribbed neckline and a chest pocket.. It has to be Kids Boy Jersey Basic and not Kids Boy UW/NW.
408575003,Over-the-knee socks in a soft pattern knit with ribbed tops.,215303001.0,"Sunglasses with plastic frames and UV-protective, tinted lenses.",department_name,Socks,Sunglasses,Over-the-knee socks in a soft pattern knit with ribbed tops.. It has to be Socks and not Sunglasses.
408875019,"Cropped top in soft, ribbed jersey with a V-neck, straight cut at the back and narrow shoulder straps.",624544002.0,Trainers in fabric and imitation leather with elasticated lacing at the front and a loop at the back. Mesh linings and insoles and fluted rubber soles.,department_name,Basic 1,Baby Shoes,"Cropped top in soft, ribbed jersey with a V-neck, straight cut at the back and narrow shoulder straps.. It has to be Basic 1 and not Baby Shoes."
411013001,"Double-layered jersey top in a cotton blend with hard-worn details, raw edge cuffs and a raw-edge, rounded hem.",671163001.0,"Blouse in a soft viscose weave with embroidery at the top, a collar and buttons down the front. 3/4-length sleeves with narrow elastication, a flounce and decorative ties at the cuffs.",department_name,Tops Knitwear DS,Tops Woven,"Double-layered jersey top in a cotton blend with hard-worn details, raw edge cuffs and a raw-edge, rounded hem.. It has to be Tops Knitwear DS and not Tops Woven."
411413021,Cropped T-shirt in jersey with a chest pocket and short sleeves with sewn-in turn-ups.,,,department_name,Basic 1,Shirt,
413707001,Leggings in stretch jersey with an elasticated waist.,651564006.0,"Wide, V-neck blouse in a viscose weave with a pompom trim at the top and on the sleeves. Gathered yoke at the back and long balloon sleeves with elastication at the cuffs.",department_name,Trousers DS,Woven top,Leggings in stretch jersey with an elasticated waist.. It has to be Trousers DS and not Woven top.
413911035,"Long-sleeved top in sweatshirt fabric made from a cotton blend with ribbing around the neckline, cuffs and hem. Soft brushed inside. The cotton content of the sweatshirt is organic.",720325002.0,"5-pocket, ankle-length jeans in washed denim with a regular waist, zip fly and button, and slim legs.",department_name,Kids Boy Jersey Basic,Trousers & Skirt,"Long-sleeved top in sweatshirt fabric made from a cotton blend with ribbing around the neckline, cuffs and hem. Soft brushed inside. The cotton content of the sweatshirt is organic.. It has to be Kids Boy Jersey Basic and not Trousers & Skirt."
417088004,"Long jacket in washed denim with a collar, buttons down the front, flap chest pockets with a button and side pockets. 3/4-length sleeves with buttons at the cuffs, and an adjustable tab and button at the sides of the hem.",663735001.0,"Ankle boots in imitation leather with a double-layer shaft, lacing at the front and a welt seam around the soles. Felted fabric linings and insoles and rubber soles.",department_name,Denim Other Garments,Young Boy Shoes,"Long jacket in washed denim with a collar, buttons down the front, flap chest pockets with a button and side pockets. 3/4-length sleeves with buttons at the cuffs, and an adjustable tab and button at the sides of the hem.. It has to be Denim Other Garments and not Young Boy Shoes."
